features,number,accuracy
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84, 50, 71, 64, 2, 47, 36, 28, 33, 1, 5, 6, 72, 77, 27, 83, 87, 60, 70)",88,0.6114456146448233
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84, 50, 71, 64, 2, 47, 36, 28, 33, 1, 5, 6, 72)",82,0.6114273089175147
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24)",41,0.6114098653474456
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30)",26,0.6113890620866925
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54)",36,0.6113587347530374
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84, 50, 71, 64, 2, 47, 36, 28, 33, 1, 5, 6, 72, 77, 27, 83, 87, 60, 70, 78, 7, 91, 10, 35, 0, 68, 69, 75, 55)",98,0.6113259277121547
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85)",48,0.6113173650241548
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67)",46,0.6113134131999278
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42, 32, 82, 34, 12, 44, 37, 40, 88, 16, 79, 38, 48, 80, 26, 3, 84, 50, 71, 64, 2, 47, 36, 28, 33, 1, 5, 6, 72, 77, 27, 83, 87, 60, 70, 78, 7, 91, 10)",92,0.6112897862267973
"(23, 13, 22, 51, 17, 20, 93, 92, 98, 99, 61, 62, 18, 95, 39, 29, 49, 14, 21, 58, 96, 97, 43, 15, 8, 30, 11, 53, 9, 46, 59, 31, 19, 63, 57, 54, 76, 25, 74, 45, 24, 56, 73, 86, 65, 67, 89, 85, 81, 90, 4, 66, 52, 42)",54,0.61124402564087
